team,player,status,attack_multiplier,opponent_attack_multiplier,note,source
Spain,Fermin Lopez,out,0.975,1.000,right-foot fifth-metatarsal fracture reported to rule him out,BBC/Fox Sports 2026-05-18
Spain,Lamine Yamal,expected fit,0.990,1.000,expected fit for opener but returning from hamstring issue,RotoWire 2026-06-01
Brazil,Rodrygo,out,0.940,1.000,reported ruled out after ACL rupture,FourFourTwo 2026-06-01
Brazil,Estevao,out,0.985,1.000,reported ruled out after serious hamstring injury,FourFourTwo 2026-06-01
Brazil,Neymar,doubt,0.975,1.000,grade-two calf issue could affect early tournament availability,BBC Sport 2026-05
France,Hugo Ekitike,out,0.985,1.000,reported out after Achilles tendon rupture,Le Monde/FourFourTwo 2026-05/06
France,William Saliba,doubt,1.000,1.015,fitness concern reported before tournament,Sports Mole 2026-06-03
Germany,Serge Gnabry,out,0.980,1.000,reported ruled out with thigh injury,FIFA 2026-05
Mexico,Luis Angel Malagon,out,1.000,1.030,goalkeeper ruled out of World Cup,FIFA 2026-04
Argentina,Joaquin Panichelli,out,0.995,1.000,reported ruled out with ACL injury but limited senior role,FourFourTwo 2026-06-01
